,repo_id,time,first_treat,treat,ttc_d,count,id,post,y0_1,y0_2,y0_3,y0_4,age,size,watchers,forks,has_wiki
2740,17634071,5,5,1,103.4575788336168,196,307,1,,,83.02348633307966,88.91907424181429,707.3828472222223,223710,3348,2360,True
2741,17634071,6,5,1,87.849665155607,216,307,1,,,83.02348633307966,88.91907424181429,707.3828472222223,223710,3348,2360,True
2742,17634071,7,5,1,43.366515372416615,181,307,1,,,83.02348633307966,88.91907424181429,707.3828472222223,223710,3348,2360,True
2743,17634071,8,5,1,60.15944452653008,141,307,1,,,83.02348633307966,88.91907424181429,707.3828472222223,223710,3348,2360,True
2744,17634071,9,5,1,68.00829345769127,137,307,1,,,83.02348633307966,88.91907424181429,707.3828472222223,223710,3348,2360,True
2745,17728164,1,6,0,83.38270637877115,302,308,0,83.38270637877115,108.61152131826998,163.41529771505375,160.28950880206273,705.0654166666667,306575,40787,9229,False
2746,17728164,2,6,0,108.61152131826998,611,308,0,83.38270637877115,108.61152131826998,163.41529771505375,160.28950880206273,705.0654166666667,306575,40787,9229,False
2747,17728164,3,6,0,163.41529771505375,465,308,0,83.38270637877115,108.61152131826998,163.41529771505375,160.28950880206273,705.0654166666667,306575,40787,9229,False
2748,17728164,4,6,0,160.28950880206273,562,308,0,83.38270637877115,108.61152131826998,163.41529771505375,160.28950880206273,705.0654166666667,306575,40787,9229,False
2749,17728164,5,6,0,141.60197204415954,832,308,1,83.38270637877115,108.61152131826998,163.41529771505375,160.28950880206273,705.0654166666667,306575,40787,9229,False
2750,17728164,6,6,0,124.7161579378858,720,308,1,83.38270637877115,108.61152131826998,163.41529771505375,160.28950880206273,705.0654166666667,306575,40787,9229,False
2751,17728164,7,6,0,117.3732474833118,860,308,1,83.38270637877115,108.61152131826998,163.41529771505375,160.28950880206273,705.0654166666667,306575,40787,9229,False
2752,17728164,8,6,0,82.63206877319752,938,308,1,83.38270637877115,108.61152131826998,163.41529771505375,160.28950880206273,705.0654166666667,306575,40787,9229,False
2753,17728164,9,6,0,86.10581589621987,1066,308,1,83.38270637877115,108.61152131826998,163.41529771505375,160.28950880206273,705.0654166666667,306575,40787,9229,False
2754,17839063,1,0,0,133.0765798611111,4,309,0,133.0765798611111,928.1425115740741,777.7991010802469,660.9883928571429,701.2223379629629,7,7,3,False
2755,17839063,2,0,0,928.1425115740741,1,309,0,133.0765798611111,928.1425115740741,777.7991010802469,660.9883928571429,701.2223379629629,7,7,3,False
2756,17839063,3,0,0,777.7991010802469,27,309,0,133.0765798611111,928.1425115740741,777.7991010802469,660.9883928571429,701.2223379629629,7,7,3,False
2757,17839063,4,0,0,660.9883928571429,35,309,0,133.0765798611111,928.1425115740741,777.7991010802469,660.9883928571429,701.2223379629629,7,7,3,False
2758,17839063,5,0,0,561.0806867283951,33,309,1,133.0765798611111,928.1425115740741,777.7991010802469,660.9883928571429,701.2223379629629,7,7,3,False
2759,17839063,6,0,0,522.6953819444444,39,309,1,133.0765798611111,928.1425115740741,777.7991010802469,660.9883928571429,701.2223379629629,7,7,3,False
2760,17839063,7,0,0,383.30023034676833,51,309,1,133.0765798611111,928.1425115740741,777.7991010802469,660.9883928571429,701.2223379629629,7,7,3,False
2761,17839063,8,0,0,339.6849961419753,33,309,1,133.0765798611111,928.1425115740741,777.7991010802469,660.9883928571429,701.2223379629629,7,7,3,False
2762,17839063,9,0,0,241.11038477366253,45,309,1,133.0765798611111,928.1425115740741,777.7991010802469,660.9883928571429,701.2223379629629,7,7,3,False
2763,17914657,1,5,1,137.73791034508406,249,310,0,137.73791034508406,135.8209443392256,124.3455605000884,88.85271838364976,699.2497222222222,361,711,58,True
2764,17914657,2,5,1,135.8209443392256,506,310,0,137.73791034508406,135.8209443392256,124.3455605000884,88.85271838364976,699.2497222222222,361,711,58,True
2765,17914657,3,5,1,124.3455605000884,419,310,0,137.73791034508406,135.8209443392256,124.3455605000884,88.85271838364976,699.2497222222222,361,711,58,True
2766,17914657,4,5,1,88.85271838364976,357,310,0,137.73791034508406,135.8209443392256,124.3455605000884,88.85271838364976,699.2497222222222,361,711,58,True
2767,17914657,5,5,1,57.96310181568286,320,310,1,137.73791034508406,135.8209443392256,124.3455605000884,88.85271838364976,699.2497222222222,361,711,58,True
2768,17914657,6,5,1,39.157575449039264,399,310,1,137.73791034508406,135.8209443392256,124.3455605000884,88.85271838364976,699.2497222222222,361,711,58,True
2769,17914657,7,5,1,40.505460634314595,502,310,1,137.73791034508406,135.8209443392256,124.3455605000884,88.85271838364976,699.2497222222222,361,711,58,True
2770,17914657,8,5,1,28.54745164099743,808,310,1,137.73791034508406,135.8209443392256,124.3455605000884,88.85271838364976,699.2497222222222,361,711,58,True
2771,17914657,9,5,1,56.59559448563191,1169,310,1,137.73791034508406,135.8209443392256,124.3455605000884,88.85271838364976,699.2497222222222,361,711,58,True
2772,18049133,1,5,1,110.66410043441019,227,311,0,110.66410043441019,86.48120463551476,86.19964531224947,40.29360626805884,694.9096643518518,3714,28222,5888,False
2773,18049133,2,5,1,86.48120463551476,236,311,0,110.66410043441019,86.48120463551476,86.19964531224947,40.29360626805884,694.9096643518518,3714,28222,5888,False
2774,18049133,3,5,1,86.19964531224947,231,311,0,110.66410043441019,86.48120463551476,86.19964531224947,40.29360626805884,694.9096643518518,3714,28222,5888,False
